"","GSM559619","GSM559623","GSM559624","GSM559628","GSM559616","GSM559617","GSM559618","GSM559620","GSM559621","GSM559622","GSM559625","GSM559626","GSM559627","GSM559629","GSM559630","GSM559631","GSM559632","GSM559633","GSM559634","GSM559635"
"ERVH-1",6.98001,7.02553,6.67481,6.60299,7.16028,6.80609,7.0499,7.00384,8.85979,7.16028,7.89488,8.58555,7.58063,8.2165,7.01673,8.65034,7.00138,8.15322,7.07382,10.8962
"CTD-2534I21.8",2.11353,2.20578,2.20374,2.16475,2.16926,2.15404,2.18733,2.16855,2.22083,2.078,2.1925,2.44747,2.22179,2.28448,2.34785,2.20591,2.11273,2.35928,2.18733,2.32629
"LOC101929210",2.50135,2.551,2.60371,2.45605,3.8656,2.54549,2.6002,2.62625,2.62258,2.75643,2.62625,2.7156,3.05402,2.63283,2.53191,2.73861,2.55452,2.87223,2.62625,2.73925
"RP11-764E7.1",2.88565,2.77463,2.65926,2.70986,2.78481,2.54563,2.761,2.77258,3.49392,2.97335,3.37714,2.94798,2.88932,2.78017,2.78427,4.13823,2.53001,5.09382,2.81936,5.5287
"LOC101926942",2.85839,2.86743,2.9074,2.83353,2.93078,2.79879,2.81764,2.85028,3.97524,2.84254,3.69347,3.04188,2.90177,3.02436,3.24903,4.57594,2.91805,3.73789,2.94343,4.30128
"LOC101927907",2.85448,2.9366,2.67937,2.77762,2.93511,2.75788,2.91763,2.80461,3.11181,3.02641,3.14211,3.16521,3.12638,3.04028,2.88641,2.98081,2.86371,4.56034,2.95489,6.48513
"PRSS55",3.03316,2.77799,2.77916,2.73709,2.77849,2.60801,2.78351,2.73346,2.87366,2.75542,2.83159,2.85663,3.07751,2.83857,2.74076,2.77796,2.66324,3.02431,2.70735,3.22197
"ABCA1",6.86057,7.513165,5.9786775,6.67757,5.0077475,5.448695,5.3956,5.28948,5.22421,5.189145,5.318115,4.2539075,4.3812725,5.342505,5.499825,5.41148,4.911695,4.5003875,4.734305,4.357005
"BC016972 /// RP11-443B7.1",1.98782,2.07413,2.07904,2.06089,2.05181,2.01786,2.04149,2.29663,2.05353,2.07555,2.05353,2.37139,2.06553,2.03464,2.03954,2.04463,2.02831,2.06807,2.02017,2.11132
"LOC646736",2.63451,2.69154,2.6672,2.6394,2.91908,2.61848,2.65457,2.93165,4.0095,2.87587,3.28279,3.5926,3.53991,3.59009,3.34598,3.08075,2.68527,4.78706,2.74609,5.45383
